0
ExifTool Version Number,11.93
File Name,Situation_5_nah.JPG
Directory,/Users/mullenbr/useCase_Drohne/Bilder_Drohne_2020-04/Lukas_Bilder/Situation_5/Situation_5_Auswahl
File Size,10.0 MB
File Modification Date/Time,00
File Access Date/Time,00
File Creation Date/Time,00
File Permissions,rw-rw-rw-
File Type,JPEG
File Type Extension,jpg
MIME Type,image/jpeg
"Exif Byte Order,""Little-endian (Intel, II)"""
Image Description,default
Make,Hasselblad
Camera Model Name,L1D-20c
Orientation,Horizontal (normal)
Samples Per Pixel,3
X Resolution,72
Y Resolution,72
Resolution Unit,inches
Software,10.00.11.04
Modify Date,00
Y Cb Cr Positioning,Centered
Exposure Time,1/800
F Number,6.3
Exposure Program,Program AE
ISO,100
Exif Version,0230
Date/Time Original,00
Create Date,00
"Components Configuration,""Y, Cb, Cr, -"""
Exposure Compensation,-1
Max Aperture Value,2.8
Metering Mode,Center-weighted average
Light Source,Daylight
Flash,No Flash
Focal Length,28.0 mm)
Warning,[minor] Bad MakerNotes directory
Flashpix Version,0100
Color Space,sRGB
Exif Image Width,5472
Exif Image Height,3648
Interoperability Index,R98 - DCF basic file (sRGB)
Interoperability Version,0100
File Source,Digital Camera
Scene Type,Directly photographed
Exposure Mode,Auto
White Balance,Auto
Digital Zoom Ratio,1
Focal Length In 35mm Format,28 mm
Scene Capture Type,Standard
Gain Control,None
Contrast,Normal
Saturation,Normal
Sharpness,Normal
"Device Setting Description,""(Binary data 4 bytes, use -b option to extract)"""
Serial Number,0K8TGAC0120971
Lens Info,28mm f/2.8-11
GPS Version ID,2.3.0.0
GPS Latitude Ref,North
GPS Longitude Ref,East
GPS Altitude Ref,Above Sea Level
XP Comment,0.9.142
XP Keywords,single
Compression,JPEG
Thumbnail Offset,21142
Thumbnail Length,21783
About,DJI Meta Data
Format,image/jpg
Absolute Altitude,+453.92
Relative Altitude,+11.00
Gimbal Roll Degree,+0.00
Gimbal Yaw Degree,-52.50
Gimbal Pitch Degree,-90.00
Flight Roll Degree,+1.00
Flight Yaw Degree,-65.70
Flight Pitch Degree,-1.30
Cam Reverse,0
Gimbal Reverse,0
Self Data,Self data
Version,7.0
Has Settings,False
Has Crop,False
Already Applied,False
MPF Version,0100
Number Of Images,2
MP Image Flags,Dependent child image
MP Image Format,JPEG
MP Image Type,Large Thumbnail (VGA equivalent)
MP Image Length,670533
MP Image Start,9776505
Dependent Image 1 Entry Number,0
Dependent Image 2 Entry Number,0
"Image UID List,""(Binary data 66 bytes, use -b option to extract)"""
Total Frames,1
Image Width,5472
Image Height,3648
"Encoding Process,""Baseline DCT, Huffman coding"""
Bits Per Sample,8
Color Components,3
Y Cb Cr Sub Sampling,0 (2 2)
Aperture,6.3
Image Size,5472x3648
Megapixels,20.0
Scale Factor To 35 mm Equivalent,2.7
Shutter Speed,1/800
"Thumbnail Image,""(Binary data 21783 bytes, use -b option to extract)"""
GPS Altitude,453 m Above Sea Level


"Preview Image,""(Binary data 670533 bytes, use -b option to extract)"""
Circle Of Confusion,0.011 mm
Field Of View,65.5 deg

Hyperfocal Distance,1.52 m
Light Value,15.0
